"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0017",45725,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0022",42928,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0027",41647,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0014",34695,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ddb5124b46f97d3a81bcba281fde7ee7","S00PP-0003",34499,"teria","teroidota","teroidia","teroidales","teroidaceae","teroides"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0023",34436,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0026",32813,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0025",31284,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ddb5124b46f97d3a81bcba281fde7ee7","S00PP-0002",24749,"teria","teroidota","teroidia","teroidales","teroidaceae","teroides"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0013",23812,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0015",22315,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"6a2635af5e61db824708f2a95508a4b5","S00PP-0008",21486,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0001",21241,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"6a2635af5e61db824708f2a95508a4b5","S00PP-0019",20577,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"1e44183228ee1bab30a2a69f16aee8c6","S00PP-0006",18889,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-001"
"ddb5124b46f97d3a81bcba281fde7ee7","S00PP-0004",18527,"teria","teroidota","teroidia","teroidales","teroidaceae","teroides"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0030",17797,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0018",17473,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"7ec2e0de3e22b59c14e75484480b550c","S00PP-0017",17305,"teria","teroidota","teroidia","teroidales","ibaculaceae","ibaculaceae"
"7ec2e0de3e22b59c14e75484480b550c","S00PP-0002",16905,"teria","teroidota","teroidia","teroidales","ibaculaceae","ibaculaceae"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0028",16631,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"6a2635af5e61db824708f2a95508a4b5","S00PP-0007",15669,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef26904830b91caa86a460c041c77fd4","S00PP-0016",15557,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
