"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0017",79589,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0022",67591,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0027",62578,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0025",60746,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0023",58309,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0014",57811,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0026",57209,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0006",55727,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0001",52107,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0013",51366,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0019",49215,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0015",47774,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0030",46410,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0008",46197,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0003",46068,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0002",43724,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0028",43152,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0004",42187,"teria","teroidota","teroidia","teroidales"
