"OTU","Sample","Abundance","Kingdom","Phylum"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0017",79589,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0022",67594,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0027",62578,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0025",60746,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0023",58314,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0014",57811,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0026",57209,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0006",55727,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0001",52107,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0013",51366,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0019",49215,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0015",47774,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0030",46410,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0008",46197,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0003",46068,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0002",43724,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0028",43152,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0004",42187,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0018",41577,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0009",38879,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0020",36907,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0016",34301,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0011",33483,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0024",33218,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0021",31746,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0029",31689,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0007",31152,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0010",30878,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0012",29371,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0005",28606,"teria","teroidota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0004",19336,"teria","micutes"
"ef26904830b91caa86a460c041c77fd4","S00PP-0016",15557,"teria","rucomicrobiota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0005",15043,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0011",15022,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0010",13769,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0020",13450,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0001",12668,"teria","micutes"
