"OTU","Sample","Abundance","Kingdom","Phylum"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0017",92.3584839974934,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0027",91.1047053342651,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0022",90.7046335932153,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0023",90.4331374160631,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0015",89.5633752648057,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0013",87.8967812590907,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0025",87.5113448101995,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0026",85.0312128418549,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0014",84.8427479123556,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0008",84.0801543389633,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0019",83.880149302064,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0006",83.0667640526481,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0030",82.2420300898442,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0003",76.899193750313,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0021",75.5245753437693,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0028",74.1417820693447,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0001",74.0903467986179,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0009",72.668311464992,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0002",72.1827846931026,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0020",70.6002754610146,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0024",70.5475088136601,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0018",69.6980872713862,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0012",69.5220962435203,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0010",67.8041282389108,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0029",67.409061901723,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0004",67.1714035506727,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0011",65.5629528098688,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0007",61.7433701985967,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0005",60.9559121225681,"teria","teroidota"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0016",59.8569060291423,"teria","teroidota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0005",32.0548061965949,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0004",30.7873576944511,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0010",30.2349582784365,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0011",29.4145290777364,"teria","micutes"
"ef26904830b91caa86a460c041c77fd4","S00PP-0016",27.1477183491842,"teria","rucomicrobiota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0024",26.8466210763284,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0012",26.8113712216252,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0020",25.7288239345015,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0009",20.8683787521962,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0003",20.5251473116664,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0007",19.5742656677369,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0002",19.0956515996962,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0001",18.0124841814899,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0029",17.9663901297596,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0021",15.8704857972118,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0019",15.0818945682,"teria","micutes"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0007",14.823403496254,"teria","nobacteria"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0016",12.5660937091004,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0028",11.7057833064156,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0018",11.6691532697433,"teria","micutes"
"ef26904830b91caa86a460c041c77fd4","S00PP-0029",11.3635396724101,"teria","rucomicrobiota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0026",11.1266349583829,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0014",11.1037731695505,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0030",10.6838439864613,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0008",10.3305183459522,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0025",10.3234171288626,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0006",10.1986972140653,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0013",9.16682352538544,"teria","micutes"
"ef26904830b91caa86a460c041c77fd4","S00PP-0028",8.73681316793237,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0018",7.91913231522304,"teria","rucomicrobiota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0015",7.36019197240397,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0017",7.16921577273888,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0023",6.75216723787665,"teria","micutes"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0022",6.69073147166571,"teria","micutes"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0002",4.94106382276224,"teria","pilobacterota"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0027",4.89750757046354,"teria","micutes"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0001",4.86143696057103,"teria","nobacteria"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0018",4.82456875597204,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0021",4.12523195508398,"teria","nobacteria"
"183d7a6a20b38695342d58bce245f3be","S00PP-0005",3.93786358115451,"teria","rochaetota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0021",3.08559737355474,"teria","pilobacterota"
